"Município","Freq","Porcentagem"
"Fortaleza",26,"50.98%"
"Natal",9,"17.65%"
"Parnamirim",2,"3.92%"
"Mossoró",2,"3.92%"
"São Paulo do Potengi",2,"3.92%"
"Eirunepé",1,"1.96%"
"Caucaia",1,"1.96%"
"Itapipoca",1,"1.96%"
"Sobral",1,"1.96%"
"Caicó",1,"1.96%"
"Canguaretama",1,"1.96%"
"Extremoz",1,"1.96%"
"Jucurutu",1,"1.96%"
"São Gonçalo do Amarante",1,"1.96%"
"São José de Mipibu",1,"1.96%"
