"UF","Freq","Porcentagem"
"Acre",1060,"20.62%"
"Rio de Janeiro",710,"13.81%"
"Maranhão",555,"10.8%"
"Rio Grande do Sul",394,"7.67%"
"Espírito Santo",338,"6.58%"
"Mato Grosso do Sul",312,"6.07%"
"Paraná",311,"6.05%"
"Goiás",263,"5.12%"
"Paraíba",148,"2.88%"
"Pernambuco",141,"2.74%"
"Ceará",133,"2.59%"
"Rondônia",130,"2.53%"
"Roraima",122,"2.37%"
"Rio Grande do Norte",87,"1.69%"
"Tocantins",57,"1.11%"
"Mato Grosso",57,"1.11%"
"Sergipe",56,"1.09%"
"Alagoas",53,"1.03%"
"Piauí",46,"0.89%"
"Bahia",46,"0.89%"
"Minas Gerais",39,"0.76%"
"Pará",36,"0.7%"
"Amazonas",29,"0.56%"
"Amapá",17,"0.33%"
