"UF","Freq","Porcentagem"
"Mato Grosso do Sul",229,"31.16%"
"Paraná",163,"22.18%"
"Ceará",155,"21.09%"
"Rio Grande do Norte",130,"17.69%"
"Pernambuco",37,"5.03%"
"Mato Grosso",16,"2.18%"
"Minas Gerais",4,"0.54%"
"Maranhão",1,"0.14%"
