"UF","Freq","Porcentagem"
"São Paulo",76495,"46.98%"
"Rio Grande do Sul",21666,"13.31%"
"Rio de Janeiro",20398,"12.53%"
"Minas Gerais",8191,"5.03%"
"Santa Catarina",7551,"4.64%"
"Paraná",7230,"4.44%"
"Pernambuco",3031,"1.86%"
"Amazonas",1958,"1.2%"
"Espírito Santo",1727,"1.06%"
"Goiás",1653,"1.02%"
"Ceará",1543,"0.95%"
"Pará",1456,"0.89%"
"Acre",1433,"0.88%"
"Bahia",1229,"0.75%"
"Mato Grosso do Sul",1086,"0.67%"
"Maranhão",931,"0.57%"
"Rondônia",898,"0.55%"
"Paraíba",857,"0.53%"
"Alagoas",853,"0.52%"
"Rio Grande do Norte",762,"0.47%"
"Piauí",501,"0.31%"
"Amapá",280,"0.17%"
"Distrito Federal",276,"0.17%"
"Mato Grosso",263,"0.16%"
"Roraima",260,"0.16%"
"Sergipe",174,"0.11%"
"Tocantins",134,"0.08%"
