"UF","Freq","Porcentagem"
"São Paulo",14566,"59.34%"
"Rio de Janeiro",1625,"6.62%"
"Rio Grande do Sul",1417,"5.77%"
"Bahia",1022,"4.16%"
"Minas Gerais",855,"3.48%"
"Acre",849,"3.46%"
"Paraná",619,"2.52%"
"Santa Catarina",486,"1.98%"
"Ceará",420,"1.71%"
"Pernambuco",397,"1.62%"
"Distrito Federal",345,"1.41%"
"Amazonas",332,"1.35%"
"Alagoas",215,"0.88%"
"Sergipe",215,"0.88%"
"Paraíba",211,"0.86%"
"Pará",204,"0.83%"
"Mato Grosso do Sul",157,"0.64%"
"Rio Grande do Norte",129,"0.53%"
"Roraima",126,"0.51%"
"Amapá",73,"0.3%"
"Rondônia",68,"0.28%"
"Goiás",54,"0.22%"
"Espírito Santo",52,"0.21%"
"Maranhão",33,"0.13%"
"Piauí",33,"0.13%"
"Mato Grosso",27,"0.11%"
"Tocantins",17,"0.07%"
