"UF","Freq","Porcentagem"
"São Paulo",15857,"66.08%"
"Rondônia",1847,"7.7%"
"Rio Grande do Sul",1173,"4.89%"
"Rio de Janeiro",889,"3.7%"
"Paraná",529,"2.2%"
"Acre",525,"2.19%"
"Santa Catarina",453,"1.89%"
"Pernambuco",441,"1.84%"
"Minas Gerais",438,"1.83%"
"Distrito Federal",242,"1.01%"
"Ceará",168,"0.7%"
"Goiás",161,"0.67%"
"Bahia",157,"0.65%"
"Pará",144,"0.6%"
"Maranhão",142,"0.59%"
"Mato Grosso do Sul",128,"0.53%"
"Espírito Santo",127,"0.53%"
"Amazonas",98,"0.41%"
"Mato Grosso",97,"0.4%"
"Paraíba",82,"0.34%"
"Rio Grande do Norte",79,"0.33%"
"Tocantins",78,"0.33%"
"Piauí",57,"0.24%"
"Amapá",34,"0.14%"
"Roraima",30,"0.13%"
"Sergipe",12,"0.05%"
"Alagoas",10,"0.04%"
