"UF","Freq","Porcentagem"
"São Paulo",414618,"70.9%"
"Bahia",34449,"5.89%"
"Santa Catarina",25609,"4.38%"
"Rio Grande do Sul",25243,"4.32%"
"Rondônia",19882,"3.4%"
"Rio de Janeiro",11593,"1.98%"
"Paraná",9052,"1.55%"
"Minas Gerais",7651,"1.31%"
"Distrito Federal",7332,"1.25%"
"Goiás",6438,"1.1%"
"Mato Grosso",5129,"0.88%"
"Pará",4259,"0.73%"
"Pernambuco",3141,"0.54%"
"Amazonas",3134,"0.54%"
"Ceará",1564,"0.27%"
"Espírito Santo",1442,"0.25%"
"Rio Grande do Norte",1006,"0.17%"
"Mato Grosso do Sul",970,"0.17%"
"Maranhão",757,"0.13%"
"Tocantins",736,"0.13%"
"Alagoas",279,"0.05%"
"Roraima",256,"0.04%"
"Piauí",117,"0.02%"
"Sergipe",72,"0.01%"
"Acre",53,"0.01%"
"Paraíba",45,"0.01%"
"Amapá",4,"0%"
