"UF","Freq","Porcentagem"
"São Paulo",484432,"78.52%"
"Rio Grande do Sul",27406,"4.44%"
"Rondônia",15983,"2.59%"
"Minas Gerais",12872,"2.09%"
"Paraná",12133,"1.97%"
"Rio de Janeiro",10284,"1.67%"
"Pernambuco",9398,"1.52%"
"Goiás",5544,"0.9%"
"Santa Catarina",5343,"0.87%"
"Distrito Federal",5214,"0.85%"
"Amazonas",5014,"0.81%"
"Pará",3989,"0.65%"
"Mato Grosso",3957,"0.64%"
"Bahia",3531,"0.57%"
"Ceará",3253,"0.53%"
"Rio Grande do Norte",2939,"0.48%"
"Alagoas",2470,"0.4%"
"Mato Grosso do Sul",1040,"0.17%"
"Tocantins",930,"0.15%"
"Espírito Santo",487,"0.08%"
"Maranhão",354,"0.06%"
"Piauí",169,"0.03%"
"Paraíba",93,"0.02%"
"Roraima",80,"0.01%"
"Sergipe",65,"0.01%"
