"UF","Freq","Porcentagem"
"São Paulo",225864,"53.49%"
"Bahia",47826,"11.33%"
"Rio Grande do Sul",26076,"6.18%"
"Santa Catarina",23082,"5.47%"
"Distrito Federal",19213,"4.55%"
"Pernambuco",11115,"2.63%"
"Goiás",9796,"2.32%"
"Paraná",9362,"2.22%"
"Rondônia",9174,"2.17%"
"Piauí",7367,"1.74%"
"Rio de Janeiro",7108,"1.68%"
"Minas Gerais",5872,"1.39%"
"Ceará",4549,"1.08%"
"Mato Grosso",3535,"0.84%"
"Acre",1874,"0.44%"
"Maranhão",1870,"0.44%"
"Mato Grosso do Sul",1518,"0.36%"
"Rio Grande do Norte",1473,"0.35%"
"Pará",1158,"0.27%"
"Espírito Santo",1049,"0.25%"
"Tocantins",955,"0.23%"
"Sergipe",855,"0.2%"
"Alagoas",806,"0.19%"
"Amazonas",462,"0.11%"
"Roraima",225,"0.05%"
"Paraíba",71,"0.02%"
