"UF","Freq","Porcentagem"
"São Paulo",1002,"33.3%"
"Rio Grande do Sul",587,"19.51%"
"Rio de Janeiro",350,"11.63%"
"Minas Gerais",164,"5.45%"
"Paraná",122,"4.05%"
"Santa Catarina",113,"3.76%"
"Bahia",98,"3.26%"
"Pernambuco",75,"2.49%"
"Goiás",65,"2.16%"
"Pará",55,"1.83%"
"Amazonas",40,"1.33%"
"Maranhão",40,"1.33%"
"Ceará",38,"1.26%"
"Acre",36,"1.2%"
"Espírito Santo",36,"1.2%"
"Mato Grosso do Sul",32,"1.06%"
"Distrito Federal",26,"0.86%"
"Rondônia",25,"0.83%"
"Alagoas",19,"0.63%"
"Piauí",18,"0.6%"
"Rio Grande do Norte",18,"0.6%"
"Mato Grosso",18,"0.6%"
"Paraíba",15,"0.5%"
"Sergipe",11,"0.37%"
"Amapá",4,"0.13%"
"Tocantins",2,"0.07%"
