"UF","Freq","Porcentagem"
"Paraná",322,"22.13%"
"Rio de Janeiro",277,"19.04%"
"Mato Grosso do Sul",271,"18.63%"
"Ceará",157,"10.79%"
"Mato Grosso",83,"5.7%"
"Pernambuco",74,"5.09%"
"Minas Gerais",72,"4.95%"
"Tocantins",55,"3.78%"
"Rio Grande do Norte",55,"3.78%"
"Maranhão",46,"3.16%"
"Rio Grande do Sul",19,"1.31%"
"Goiás",12,"0.82%"
"Roraima",8,"0.55%"
"Pará",2,"0.14%"
"Piauí",2,"0.14%"
