"UF","Freq","Porcentagem"
"São Paulo",24162,"68.29%"
"Rio Grande do Sul",1896,"5.36%"
"Rio de Janeiro",1522,"4.3%"
"Santa Catarina",1163,"3.29%"
"Rondônia",1125,"3.18%"
"Minas Gerais",863,"2.44%"
"Distrito Federal",774,"2.19%"
"Bahia",656,"1.85%"
"Paraná",473,"1.34%"
"Mato Grosso do Sul",422,"1.19%"
"Pernambuco",407,"1.15%"
"Acre",367,"1.04%"
"Espírito Santo",225,"0.64%"
"Maranhão",221,"0.62%"
"Goiás",174,"0.49%"
"Amazonas",171,"0.48%"
"Ceará",115,"0.33%"
"Alagoas",106,"0.3%"
"Rio Grande do Norte",102,"0.29%"
"Amapá",97,"0.27%"
"Piauí",97,"0.27%"
"Mato Grosso",84,"0.24%"
"Paraíba",44,"0.12%"
"Pará",41,"0.12%"
"Roraima",40,"0.11%"
"Sergipe",36,"0.1%"
