"UF","Freq","Porcentagem"
"São Paulo",586434,"83.79%"
"Rio Grande do Sul",17639,"2.52%"
"Rondônia",15348,"2.19%"
"Santa Catarina",9470,"1.35%"
"Paraná",9084,"1.3%"
"Rio de Janeiro",7674,"1.1%"
"Minas Gerais",6869,"0.98%"
"Ceará",6431,"0.92%"
"Goiás",6074,"0.87%"
"Alagoas",5726,"0.82%"
"Pernambuco",4426,"0.63%"
"Distrito Federal",4180,"0.6%"
"Pará",4082,"0.58%"
"Bahia",3532,"0.5%"
"Amazonas",3453,"0.49%"
"Rio Grande do Norte",2946,"0.42%"
"Mato Grosso",2568,"0.37%"
"Maranhão",1524,"0.22%"
"Mato Grosso do Sul",866,"0.12%"
"Tocantins",863,"0.12%"
"Espírito Santo",326,"0.05%"
"Piauí",238,"0.03%"
"Paraíba",90,"0.01%"
"Sergipe",37,"0.01%"
"Roraima",15,"0%"
"Amapá",3,"0%"
