"UF","Freq","Porcentagem"
"Maranhão",845,"16.66%"
"Acre",610,"12.03%"
"Rio Grande do Sul",599,"11.81%"
"Rondônia",323,"6.37%"
"Paraná",296,"5.84%"
"Goiás",274,"5.4%"
"Rio de Janeiro",262,"5.17%"
"Mato Grosso do Sul",241,"4.75%"
"São Paulo",215,"4.24%"
"Pará",205,"4.04%"
"Piauí",172,"3.39%"
"Ceará",158,"3.12%"
"Espírito Santo",128,"2.52%"
"Amapá",123,"2.43%"
"Pernambuco",109,"2.15%"
"Alagoas",87,"1.72%"
"Paraíba",79,"1.56%"
"Rio Grande do Norte",74,"1.46%"
"Sergipe",63,"1.24%"
"Roraima",60,"1.18%"
"Minas Gerais",44,"0.87%"
"Mato Grosso",44,"0.87%"
"Amazonas",42,"0.83%"
"Bahia",15,"0.3%"
"Tocantins",2,"0.04%"
"Santa Catarina",1,"0.02%"
