"UF","Freq","Porcentagem"
"São Paulo",2381,"25.28%"
"Rio de Janeiro",1499,"15.91%"
"Paraná",1242,"13.18%"
"Goiás",894,"9.49%"
"Acre",888,"9.43%"
"Ceará",500,"5.31%"
"Alagoas",405,"4.3%"
"Distrito Federal",284,"3.01%"
"Minas Gerais",226,"2.4%"
"Amazonas",224,"2.38%"
"Santa Catarina",184,"1.95%"
"Mato Grosso do Sul",143,"1.52%"
"Pernambuco",124,"1.32%"
"Bahia",118,"1.25%"
"Rondônia",80,"0.85%"
"Piauí",62,"0.66%"
"Mato Grosso",51,"0.54%"
"Tocantins",40,"0.42%"
"Roraima",20,"0.21%"
"Amapá",20,"0.21%"
"Espírito Santo",19,"0.2%"
"Sergipe",16,"0.17%"
