"UF","Freq","Porcentagem"
"São Paulo",12149,"43.18%"
"Rio Grande do Sul",4470,"15.89%"
"Rio de Janeiro",3042,"10.81%"
"Paraná",1492,"5.3%"
"Santa Catarina",1413,"5.02%"
"Minas Gerais",948,"3.37%"
"Bahia",659,"2.34%"
"Pernambuco",424,"1.51%"
"Goiás",382,"1.36%"
"Maranhão",359,"1.28%"
"Espírito Santo",323,"1.15%"
"Mato Grosso",275,"0.98%"
"Mato Grosso do Sul",269,"0.96%"
"Distrito Federal",253,"0.9%"
"Ceará",251,"0.89%"
"Amazonas",230,"0.82%"
"Roraima",194,"0.69%"
"Pará",176,"0.63%"
"Acre",150,"0.53%"
"Paraíba",122,"0.43%"
"Rondônia",113,"0.4%"
"Rio Grande do Norte",108,"0.38%"
"Sergipe",98,"0.35%"
"Alagoas",86,"0.31%"
"Piauí",68,"0.24%"
"Tocantins",43,"0.15%"
"Amapá",36,"0.13%"
