"UF","Freq","Porcentagem"
"São Paulo",1041,"36.07%"
"Rio Grande do Sul",519,"17.98%"
"Rio de Janeiro",378,"13.1%"
"Minas Gerais",143,"4.95%"
"Pernambuco",103,"3.57%"
"Santa Catarina",98,"3.4%"
"Paraná",97,"3.36%"
"Bahia",63,"2.18%"
"Goiás",60,"2.08%"
"Pará",54,"1.87%"
"Acre",38,"1.32%"
"Ceará",38,"1.32%"
"Espírito Santo",38,"1.32%"
"Amazonas",30,"1.04%"
"Mato Grosso do Sul",30,"1.04%"
"Maranhão",28,"0.97%"
"Distrito Federal",26,"0.9%"
"Rio Grande do Norte",21,"0.73%"
"Piauí",17,"0.59%"
"Paraíba",17,"0.59%"
"Rondônia",14,"0.49%"
"Alagoas",14,"0.49%"
"Mato Grosso",12,"0.42%"
"Sergipe",4,"0.14%"
"Tocantins",2,"0.07%"
"Amapá",1,"0.03%"
