"UF","Freq","Porcentagem"
"São Paulo",204330,"67.07%"
"Bahia",21587,"7.09%"
"Rio Grande do Sul",12309,"4.04%"
"Santa Catarina",10804,"3.55%"
"Ceará",9146,"3%"
"Paraná",6579,"2.16%"
"Rondônia",6258,"2.05%"
"Minas Gerais",6140,"2.02%"
"Distrito Federal",5335,"1.75%"
"Rio de Janeiro",4695,"1.54%"
"Mato Grosso",3149,"1.03%"
"Mato Grosso do Sul",2249,"0.74%"
"Amazonas",2167,"0.71%"
"Alagoas",1971,"0.65%"
"Rio Grande do Norte",1230,"0.4%"
"Pernambuco",1215,"0.4%"
"Acre",1158,"0.38%"
"Piauí",845,"0.28%"
"Espírito Santo",809,"0.27%"
"Paraíba",621,"0.2%"
"Maranhão",611,"0.2%"
"Pará",526,"0.17%"
"Goiás",526,"0.17%"
"Tocantins",225,"0.07%"
"Sergipe",125,"0.04%"
"Amapá",60,"0.02%"
"Roraima",1,"0%"
