"UF","Freq","Porcentagem"
"São Paulo",11538,"47.49%"
"Rio Grande do Sul",3532,"14.54%"
"Rio de Janeiro",2006,"8.26%"
"Santa Catarina",1145,"4.71%"
"Minas Gerais",1047,"4.31%"
"Paraná",951,"3.91%"
"Bahia",710,"2.92%"
"Goiás",461,"1.9%"
"Distrito Federal",301,"1.24%"
"Mato Grosso do Sul",298,"1.23%"
"Acre",266,"1.09%"
"Espírito Santo",230,"0.95%"
"Mato Grosso",191,"0.79%"
"Ceará",188,"0.77%"
"Pará",181,"0.74%"
"Pernambuco",173,"0.71%"
"Maranhão",163,"0.67%"
"Alagoas",139,"0.57%"
"Rio Grande do Norte",135,"0.56%"
"Roraima",133,"0.55%"
"Sergipe",109,"0.45%"
"Amazonas",102,"0.42%"
"Rondônia",91,"0.37%"
"Paraíba",77,"0.32%"
"Tocantins",69,"0.28%"
"Amapá",47,"0.19%"
"Piauí",13,"0.05%"
