"UF","Freq","Porcentagem"
"Rio de Janeiro",710,"19.15%"
"Acre",437,"11.79%"
"Rio Grande do Sul",407,"10.98%"
"Maranhão",385,"10.39%"
"Paraná",314,"8.47%"
"Mato Grosso do Sul",278,"7.5%"
"Ceará",129,"3.48%"
"Pernambuco",124,"3.35%"
"Roraima",115,"3.1%"
"Goiás",113,"3.05%"
"Rondônia",104,"2.81%"
"Minas Gerais",82,"2.21%"
"Paraíba",81,"2.19%"
"Tocantins",76,"2.05%"
"Rio Grande do Norte",69,"1.86%"
"Espírito Santo",69,"1.86%"
"Mato Grosso",64,"1.73%"
"Piauí",47,"1.27%"
"Sergipe",41,"1.11%"
"Alagoas",32,"0.86%"
"Pará",19,"0.51%"
"Amazonas",8,"0.22%"
"Bahia",3,"0.08%"
