"UF","Freq","Porcentagem"
"São Paulo",240823,"58.39%"
"Bahia",37454,"9.08%"
"Piauí",25194,"6.11%"
"Santa Catarina",18796,"4.56%"
"Rio Grande do Sul",17770,"4.31%"
"Ceará",12198,"2.96%"
"Paraná",9243,"2.24%"
"Pernambuco",8574,"2.08%"
"Rio de Janeiro",7213,"1.75%"
"Minas Gerais",7050,"1.71%"
"Rondônia",6949,"1.68%"
"Distrito Federal",4203,"1.02%"
"Mato Grosso",3425,"0.83%"
"Amazonas",2312,"0.56%"
"Acre",1809,"0.44%"
"Goiás",1747,"0.42%"
"Mato Grosso do Sul",1399,"0.34%"
"Rio Grande do Norte",1242,"0.3%"
"Pará",1239,"0.3%"
"Maranhão",1151,"0.28%"
"Espírito Santo",968,"0.23%"
"Alagoas",867,"0.21%"
"Tocantins",472,"0.11%"
"Sergipe",211,"0.05%"
"Roraima",93,"0.02%"
"Paraíba",8,"0%"
"Amapá",5,"0%"
