"UF","Freq","Porcentagem"
"São Paulo",10618,"48.12%"
"Rio Grande do Sul",3781,"17.14%"
"Rio de Janeiro",1542,"6.99%"
"Santa Catarina",1070,"4.85%"
"Paraná",893,"4.05%"
"Minas Gerais",827,"3.75%"
"Bahia",484,"2.19%"
"Goiás",386,"1.75%"
"Espírito Santo",244,"1.11%"
"Mato Grosso do Sul",226,"1.02%"
"Distrito Federal",203,"0.92%"
"Acre",201,"0.91%"
"Maranhão",199,"0.9%"
"Pernambuco",199,"0.9%"
"Ceará",175,"0.79%"
"Rondônia",167,"0.76%"
"Mato Grosso",145,"0.66%"
"Rio Grande do Norte",122,"0.55%"
"Pará",117,"0.53%"
"Amazonas",87,"0.39%"
"Sergipe",76,"0.34%"
"Alagoas",75,"0.34%"
"Roraima",62,"0.28%"
"Tocantins",61,"0.28%"
"Amapá",53,"0.24%"
"Paraíba",43,"0.19%"
"Piauí",9,"0.04%"
