"UF","Freq","Porcentagem"
"Acre",707,"16.76%"
"São Paulo",415,"9.84%"
"Paraná",386,"9.15%"
"Rio Grande do Sul",365,"8.65%"
"Mato Grosso do Sul",263,"6.23%"
"Rondônia",254,"6.02%"
"Ceará",179,"4.24%"
"Rio de Janeiro",170,"4.03%"
"Pará",165,"3.91%"
"Goiás",162,"3.84%"
"Maranhão",129,"3.06%"
"Espírito Santo",124,"2.94%"
"Sergipe",120,"2.84%"
"Bahia",118,"2.8%"
"Santa Catarina",106,"2.51%"
"Rio Grande do Norte",100,"2.37%"
"Pernambuco",83,"1.97%"
"Piauí",79,"1.87%"
"Amapá",77,"1.83%"
"Alagoas",70,"1.66%"
"Roraima",42,"1%"
"Minas Gerais",38,"0.9%"
"Amazonas",32,"0.76%"
"Paraíba",14,"0.33%"
"Tocantins",12,"0.28%"
"Mato Grosso",9,"0.21%"
