"UF","Freq","Porcentagem"
"São Paulo",35499,"36.73%"
"Rio Grande do Sul",18811,"19.46%"
"Rio de Janeiro",11501,"11.9%"
"Paraná",5972,"6.18%"
"Minas Gerais",5312,"5.5%"
"Santa Catarina",3548,"3.67%"
"Goiás",1663,"1.72%"
"Pernambuco",1579,"1.63%"
"Amazonas",1263,"1.31%"
"Espírito Santo",1186,"1.23%"
"Bahia",1089,"1.13%"
"Pará",1055,"1.09%"
"Mato Grosso do Sul",1021,"1.06%"
"Ceará",1000,"1.03%"
"Acre",937,"0.97%"
"Rio Grande do Norte",768,"0.79%"
"Distrito Federal",759,"0.79%"
"Mato Grosso",693,"0.72%"
"Maranhão",622,"0.64%"
"Alagoas",387,"0.4%"
"Piauí",384,"0.4%"
"Paraíba",367,"0.38%"
"Rondônia",305,"0.32%"
"Amapá",293,"0.3%"
"Tocantins",247,"0.26%"
"Roraima",201,"0.21%"
"Sergipe",184,"0.19%"
