"UF","Freq","Porcentagem"
"São Paulo",208854,"63%"
"Bahia",25261,"7.62%"
"Rio Grande do Sul",14933,"4.5%"
"Distrito Federal",11858,"3.58%"
"Santa Catarina",11570,"3.49%"
"Ceará",11517,"3.47%"
"Minas Gerais",8657,"2.61%"
"Paraná",7329,"2.21%"
"Rondônia",6580,"1.98%"
"Amazonas",6145,"1.85%"
"Rio de Janeiro",3756,"1.13%"
"Mato Grosso",2584,"0.78%"
"Maranhão",2541,"0.77%"
"Pernambuco",2075,"0.63%"
"Acre",1403,"0.42%"
"Goiás",1243,"0.37%"
"Piauí",1126,"0.34%"
"Mato Grosso do Sul",1016,"0.31%"
"Rio Grande do Norte",836,"0.25%"
"Pará",689,"0.21%"
"Alagoas",607,"0.18%"
"Espírito Santo",506,"0.15%"
"Tocantins",230,"0.07%"
"Sergipe",99,"0.03%"
"Amapá",42,"0.01%"
"Roraima",40,"0.01%"
"Paraíba",29,"0.01%"
