"UF","Freq","Porcentagem"
"São Paulo",991,"37.69%"
"Rio Grande do Sul",473,"17.99%"
"Rio de Janeiro",389,"14.8%"
"Minas Gerais",132,"5.02%"
"Paraná",95,"3.61%"
"Santa Catarina",84,"3.2%"
"Bahia",78,"2.97%"
"Pernambuco",76,"2.89%"
"Goiás",41,"1.56%"
"Pará",28,"1.07%"
"Espírito Santo",27,"1.03%"
"Distrito Federal",27,"1.03%"
"Maranhão",24,"0.91%"
"Ceará",24,"0.91%"
"Mato Grosso do Sul",21,"0.8%"
"Acre",20,"0.76%"
"Paraíba",17,"0.65%"
"Amazonas",16,"0.61%"
"Mato Grosso",15,"0.57%"
"Rio Grande do Norte",14,"0.53%"
"Rondônia",11,"0.42%"
"Sergipe",10,"0.38%"
"Alagoas",7,"0.27%"
"Piauí",4,"0.15%"
"Amapá",3,"0.11%"
"Roraima",1,"0.04%"
"Tocantins",1,"0.04%"
