"UF","Freq","Porcentagem"
"São Paulo",12091,"59.39%"
"Rio Grande do Sul",2032,"9.98%"
"Rio de Janeiro",1255,"6.16%"
"Minas Gerais",799,"3.92%"
"Paraná",689,"3.38%"
"Pernambuco",590,"2.9%"
"Bahia",451,"2.22%"
"Acre",385,"1.89%"
"Ceará",305,"1.5%"
"Santa Catarina",295,"1.45%"
"Paraíba",245,"1.2%"
"Distrito Federal",241,"1.18%"
"Mato Grosso do Sul",158,"0.78%"
"Pará",134,"0.66%"
"Sergipe",106,"0.52%"
"Mato Grosso",101,"0.5%"
"Amazonas",99,"0.49%"
"Rio Grande do Norte",89,"0.44%"
"Piauí",77,"0.38%"
"Goiás",55,"0.27%"
"Alagoas",35,"0.17%"
"Roraima",34,"0.17%"
"Amapá",28,"0.14%"
"Rondônia",25,"0.12%"
"Maranhão",16,"0.08%"
"Tocantins",15,"0.07%"
"Espírito Santo",9,"0.04%"
