"UF","Freq","Porcentagem"
"São Paulo",30097,"72.72%"
"Rio Grande do Sul",2130,"5.15%"
"Rio de Janeiro",1205,"2.91%"
"Rondônia",1157,"2.8%"
"Santa Catarina",999,"2.41%"
"Acre",726,"1.75%"
"Bahia",669,"1.62%"
"Paraná",664,"1.6%"
"Minas Gerais",568,"1.37%"
"Distrito Federal",521,"1.26%"
"Goiás",448,"1.08%"
"Pernambuco",370,"0.89%"
"Ceará",292,"0.71%"
"Mato Grosso do Sul",231,"0.56%"
"Amazonas",201,"0.49%"
"Maranhão",167,"0.4%"
"Mato Grosso",159,"0.38%"
"Alagoas",112,"0.27%"
"Amapá",111,"0.27%"
"Pará",107,"0.26%"
"Rio Grande do Norte",107,"0.26%"
"Piauí",101,"0.24%"
"Espírito Santo",101,"0.24%"
"Paraíba",56,"0.14%"
"Sergipe",45,"0.11%"
"Tocantins",27,"0.07%"
"Roraima",16,"0.04%"
