"UF","Freq","Porcentagem"
"São Paulo",153107,"70.77%"
"Rio Grande do Sul",13013,"6.02%"
"Santa Catarina",8237,"3.81%"
"Paraná",6653,"3.08%"
"Minas Gerais",5878,"2.72%"
"Ceará",5344,"2.47%"
"Rio de Janeiro",4793,"2.22%"
"Bahia",4697,"2.17%"
"Rondônia",2398,"1.11%"
"Mato Grosso",1832,"0.85%"
"Distrito Federal",1647,"0.76%"
"Mato Grosso do Sul",1263,"0.58%"
"Piauí",1049,"0.48%"
"Acre",1038,"0.48%"
"Goiás",965,"0.45%"
"Pernambuco",871,"0.4%"
"Espírito Santo",647,"0.3%"
"Alagoas",628,"0.29%"
"Pará",465,"0.21%"
"Rio Grande do Norte",424,"0.2%"
"Paraíba",398,"0.18%"
"Amazonas",251,"0.12%"
"Tocantins",232,"0.11%"
"Maranhão",209,"0.1%"
"Sergipe",150,"0.07%"
"Roraima",143,"0.07%"
