"UF","Freq","Porcentagem"
"São Paulo",10168,"37.35%"
"Rio Grande do Sul",5698,"20.93%"
"Rio de Janeiro",1895,"6.96%"
"Paraná",1576,"5.79%"
"Minas Gerais",1503,"5.52%"
"Santa Catarina",1436,"5.28%"
"Bahia",700,"2.57%"
"Goiás",517,"1.9%"
"Amazonas",508,"1.87%"
"Pernambuco",485,"1.78%"
"Acre",313,"1.15%"
"Mato Grosso",303,"1.11%"
"Mato Grosso do Sul",298,"1.09%"
"Ceará",260,"0.96%"
"Espírito Santo",241,"0.89%"
"Distrito Federal",225,"0.83%"
"Pará",176,"0.65%"
"Paraíba",168,"0.62%"
"Maranhão",141,"0.52%"
"Rio Grande do Norte",120,"0.44%"
"Rondônia",115,"0.42%"
"Roraima",99,"0.36%"
"Alagoas",70,"0.26%"
"Tocantins",69,"0.25%"
"Sergipe",55,"0.2%"
"Piauí",49,"0.18%"
"Amapá",32,"0.12%"
