"UF","Freq","Porcentagem"
"São Paulo",1096,"36.98%"
"Rio Grande do Sul",532,"17.95%"
"Rio de Janeiro",359,"12.11%"
"Minas Gerais",142,"4.79%"
"Paraná",137,"4.62%"
"Santa Catarina",114,"3.85%"
"Bahia",104,"3.51%"
"Pernambuco",86,"2.9%"
"Goiás",58,"1.96%"
"Pará",46,"1.55%"
"Amazonas",36,"1.21%"
"Maranhão",35,"1.18%"
"Distrito Federal",31,"1.05%"
"Mato Grosso do Sul",29,"0.98%"
"Espírito Santo",27,"0.91%"
"Mato Grosso",19,"0.64%"
"Acre",18,"0.61%"
"Ceará",18,"0.61%"
"Rio Grande do Norte",15,"0.51%"
"Alagoas",15,"0.51%"
"Rondônia",12,"0.4%"
"Paraíba",11,"0.37%"
"Sergipe",10,"0.34%"
"Piauí",6,"0.2%"
"Roraima",3,"0.1%"
"Amapá",3,"0.1%"
"Tocantins",2,"0.07%"
