"UF","Freq","Porcentagem"
"São Paulo",1068,"34.02%"
"Rio Grande do Sul",561,"17.87%"
"Rio de Janeiro",424,"13.51%"
"Minas Gerais",166,"5.29%"
"Paraná",148,"4.71%"
"Santa Catarina",118,"3.76%"
"Bahia",106,"3.38%"
"Pernambuco",74,"2.36%"
"Pará",52,"1.66%"
"Goiás",52,"1.66%"
"Espírito Santo",45,"1.43%"
"Mato Grosso do Sul",38,"1.21%"
"Amazonas",36,"1.15%"
"Acre",33,"1.05%"
"Distrito Federal",31,"0.99%"
"Maranhão",30,"0.96%"
"Ceará",29,"0.92%"
"Mato Grosso",26,"0.83%"
"Rio Grande do Norte",17,"0.54%"
"Rondônia",16,"0.51%"
"Sergipe",15,"0.48%"
"Piauí",14,"0.45%"
"Paraíba",14,"0.45%"
"Alagoas",14,"0.45%"
"Roraima",6,"0.19%"
"Tocantins",4,"0.13%"
"Amapá",2,"0.06%"
