"UF","Freq","Porcentagem"
"São Paulo",1123,"36.21%"
"Rio Grande do Sul",543,"17.51%"
"Rio de Janeiro",388,"12.51%"
"Paraná",144,"4.64%"
"Minas Gerais",138,"4.45%"
"Bahia",104,"3.35%"
"Santa Catarina",91,"2.93%"
"Pernambuco",81,"2.61%"
"Goiás",67,"2.16%"
"Pará",61,"1.97%"
"Maranhão",42,"1.35%"
"Espírito Santo",42,"1.35%"
"Distrito Federal",32,"1.03%"
"Acre",30,"0.97%"
"Ceará",26,"0.84%"
"Rondônia",25,"0.81%"
"Amazonas",25,"0.81%"
"Mato Grosso",24,"0.77%"
"Rio Grande do Norte",23,"0.74%"
"Mato Grosso do Sul",21,"0.68%"
"Piauí",18,"0.58%"
"Paraíba",15,"0.48%"
"Alagoas",15,"0.48%"
"Roraima",8,"0.26%"
"Sergipe",8,"0.26%"
"Tocantins",4,"0.13%"
"Amapá",3,"0.1%"
