"UF","Freq","Porcentagem"
"São Paulo",399285,"70.74%"
"Bahia",31385,"5.56%"
"Santa Catarina",26793,"4.75%"
"Rio Grande do Sul",24794,"4.39%"
"Rondônia",14934,"2.65%"
"Rio de Janeiro",9969,"1.77%"
"Distrito Federal",9521,"1.69%"
"Paraná",8680,"1.54%"
"Minas Gerais",7149,"1.27%"
"Paraíba",6884,"1.22%"
"Goiás",6130,"1.09%"
"Mato Grosso",4434,"0.79%"
"Pará",3374,"0.6%"
"Amazonas",2120,"0.38%"
"Rio Grande do Norte",1844,"0.33%"
"Pernambuco",1708,"0.3%"
"Mato Grosso do Sul",1252,"0.22%"
"Ceará",844,"0.15%"
"Maranhão",703,"0.12%"
"Tocantins",676,"0.12%"
"Piauí",642,"0.11%"
"Espírito Santo",550,"0.1%"
"Alagoas",358,"0.06%"
"Roraima",191,"0.03%"
"Sergipe",173,"0.03%"
"Amapá",9,"0%"
"Acre",7,"0%"
