"UF","Freq","Porcentagem"
"São Paulo",1029,"34.01%"
"Rio Grande do Sul",586,"19.37%"
"Rio de Janeiro",369,"12.19%"
"Paraná",142,"4.69%"
"Minas Gerais",130,"4.3%"
"Santa Catarina",118,"3.9%"
"Bahia",99,"3.27%"
"Pernambuco",79,"2.61%"
"Goiás",60,"1.98%"
"Pará",56,"1.85%"
"Ceará",44,"1.45%"
"Acre",41,"1.35%"
"Espírito Santo",38,"1.26%"
"Distrito Federal",34,"1.12%"
"Mato Grosso do Sul",29,"0.96%"
"Maranhão",26,"0.86%"
"Rondônia",22,"0.73%"
"Amazonas",21,"0.69%"
"Alagoas",19,"0.63%"
"Piauí",18,"0.59%"
"Mato Grosso",17,"0.56%"
"Paraíba",14,"0.46%"
"Rio Grande do Norte",13,"0.43%"
"Sergipe",9,"0.3%"
"Tocantins",6,"0.2%"
"Amapá",4,"0.13%"
"Roraima",3,"0.1%"
