"UF","Freq","Porcentagem"
"São Paulo",354997,"67.01%"
"Bahia",34166,"6.45%"
"Rio Grande do Sul",28981,"5.47%"
"Santa Catarina",27048,"5.11%"
"Distrito Federal",21929,"4.14%"
"Rondônia",13834,"2.61%"
"Paraná",7161,"1.35%"
"Rio de Janeiro",7099,"1.34%"
"Minas Gerais",6087,"1.15%"
"Goiás",5722,"1.08%"
"Pernambuco",4598,"0.87%"
"Mato Grosso",3174,"0.6%"
"Pará",2434,"0.46%"
"Ceará",1916,"0.36%"
"Paraíba",1642,"0.31%"
"Rio Grande do Norte",1622,"0.31%"
"Tocantins",1306,"0.25%"
"Acre",1178,"0.22%"
"Mato Grosso do Sul",1137,"0.21%"
"Amazonas",1128,"0.21%"
"Maranhão",868,"0.16%"
"Piauí",764,"0.14%"
"Espírito Santo",333,"0.06%"
"Alagoas",229,"0.04%"
"Sergipe",198,"0.04%"
"Roraima",197,"0.04%"
"Amapá",12,"0%"
