"UF","Freq","Porcentagem"
"São Paulo",16058,"60.83%"
"Rio Grande do Sul",1831,"6.94%"
"Rio de Janeiro",1759,"6.66%"
"Bahia",1215,"4.6%"
"Santa Catarina",795,"3.01%"
"Minas Gerais",674,"2.55%"
"Paraná",629,"2.38%"
"Pernambuco",507,"1.92%"
"Amazonas",466,"1.77%"
"Acre",459,"1.74%"
"Ceará",308,"1.17%"
"Distrito Federal",287,"1.09%"
"Mato Grosso do Sul",249,"0.94%"
"Pará",170,"0.64%"
"Amapá",167,"0.63%"
"Rondônia",165,"0.62%"
"Goiás",121,"0.46%"
"Sergipe",112,"0.42%"
"Rio Grande do Norte",91,"0.34%"
"Paraíba",84,"0.32%"
"Alagoas",79,"0.3%"
"Mato Grosso",68,"0.26%"
"Tocantins",50,"0.19%"
"Roraima",47,"0.18%"
"Maranhão",9,"0.03%"
