"UF","Freq","Porcentagem"
"Bahia",451,"12.78%"
"Acre",419,"11.88%"
"Rio Grande do Sul",327,"9.27%"
"São Paulo",295,"8.36%"
"Rondônia",284,"8.05%"
"Santa Catarina",256,"7.26%"
"Mato Grosso do Sul",238,"6.75%"
"Goiás",211,"5.98%"
"Ceará",176,"4.99%"
"Espírito Santo",131,"3.71%"
"Sergipe",102,"2.89%"
"Rio de Janeiro",100,"2.83%"
"Pará",90,"2.55%"
"Paraná",89,"2.52%"
"Pernambuco",77,"2.18%"
"Rio Grande do Norte",69,"1.96%"
"Paraíba",55,"1.56%"
"Alagoas",50,"1.42%"
"Maranhão",42,"1.19%"
"Roraima",40,"1.13%"
"Amazonas",17,"0.48%"
"Amapá",7,"0.2%"
"Tocantins",1,"0.03%"
"Piauí",1,"0.03%"
